Presence Time,Scrolled Pixels
0.0010044574737548828,0
2.0095534324645996,1000
4.016085863113403,1093
6.022581577301025,0
8.029003381729126,300
10.034407377243042,800
12.040763139724731,1553
14.048189878463745,753
16.054728746414185,0
18.059953212738037,400
20.067115306854248,700
22.073116779327393,900
24.078502655029297,300
26.083398580551147,657
28.089449882507324,0
30.095335245132446,1553
32.100850105285645,1553
34.1074914932251,1553
36.113346576690674,53
38.11881399154663,200
40.12431287765503,200
